
danger%1:26:00::	danger%1:04:00::
control%2:41:01::	control%2:35:00::
continue%2:30:10::	continue%2:42:01::
continue%2:41:00::	continue%2:42:01::
continue%2:42:00::	continue%2:42:01::
continue%2:42:12::	continue%2:42:01::
confront%2:32:03::	confront%2:33:00::
concede%2:32:01::	concede%2:32:00::
check%2:31:02::	check%2:31:00::
check%2:32:10::	check%2:31:00::
check%2:41:04::	check%2:31:00::
check%2:30:02::	DELETE
characterize%2:42:01::	characterize%2:32:00::
change%2:30:02::	change%2:30:00::
change%2:38:00::	change%2:30:05::
change%2:30:03::	change%2:30:05::
change%2:30:04::	change%2:30:05::
change%2:40:00::	change%2:30:05::
carry%2:30:05::	carry%2:32:02::
carry%2:31:12::	carry%2:32:02::
carry%2:35:01::	carry%2:35:02::
carry%2:35:08::	carry%2:35:02::
carry%2:35:09::	carry%2:35:02::
carry%2:33:01::	carry%2:35:02::
carry%2:36:00::	carry%2:35:02::
carry%2:40:00::	carry%2:42:03::
carry%2:41:00::	carry%2:32:02::
carry%2:41:01::	carry%2:32:02::
carry%2:42:02::	carry%2:32:02::
carry%2:42:13::	carry%2:32:02::
capture%2:35:00::	capture%2:35:01::
capture%2:37:00::	capture%2:36:00::
bring%2:30:00::	bring%2:35:04::
bring%2:35:00::	bring%2:38:00::
bring%2:36:00::	bring%2:35:04::
bring%2:36:01::	bring%2:35:04::
bring%2:40:02::	bring%2:35:04::
break%2:30:00::	break%2:35:01::
break%2:30:02::	break%2:30:03::
break%2:30:06::	break%2:35:01::
break%2:30:09::	DELETE
break%2:30:10::	break%2:35:01::
break%2:30:11::	break%2:30:12::
break%2:37:00::	break%2:30:12::
break%2:38:01::	DELETE
break%2:42:00::	break%2:41:00::
break%2:41:01::	break%2:30:05::
belong%2:42:02::	belong%2:42:01::
belong%2:42:03::	belong%2:42:01::
attack%2:32:00::	attack%2:30:00::
attack%2:33:01::	attack%2:33:00::
assimilate%2:30:01::	assimilate%2:30:00::
answer%2:31:03::	answer%2:31:00::
answer%2:32:06::	answer%2:32:00::
alter%2:36:00::	alter%2:30:01::
alter%2:30:00::	alter%2:30:01::
allow%2:31:01::	allow%2:40:00::
allow%2:42:00::	allow%2:40:00::
allow%2:42:07::	allow%2:41:00::
allow%2:31:00::	allow%2:40:00::
aim%2:31:00::	aim%2:31:01::
aim%2:31:02::	aim%2:31:01::
aim%2:32:09::	aim%2:31:01::
aim%2:33:10::	aim%2:33:00::
advance%2:38:01::	advance%2:38:00::
advance%2:30:00::	advance%2:30:08::
advance%2:30:09::	advance%2:30:08::
advance%2:32:00::	advance%2:30:08::
advance%2:41:01::	advance%2:30:08::
advance%2:33:00::	advance%2:30:08::
admit%2:40:00::	admit%2:41:01::
admit%2:41:00::	admit%2:41:01::
address%2:34:00::	address%2:32:00::
address%2:32:02::	address%2:32:00::
address%2:33:00::	address%2:32:00::
add%2:32:00::	add%2:31:00::
write%2:32:01::	write%2:32:00::
write%2:32:08::	write%2:32:00::
write%2:36:01::	write%2:36:00::
write%2:36:02::	write%2:36:00::
write%2:36:04::	write%2:36:00::
write%2:36:03::	DELETE
wish%2:32:01::	wish%2:37:00::
wish%2:37:01::	wish%2:37:00::
wish%2:32:02::	wish%2:37:00::
win%2:33:01::	win%2:40:00::
treat%2:31:00::	treat%2:41:00::
treat%2:32:00::	treat%2:41:00::
train%2:29:00::	train%2:31:01::
train%2:31:00::	train%2:31:01::
train%2:33:00::	DELETE
train%2:32:00::	train%2:41:00::
train%2:41:01::	train%2:41:00::
train%2:41:02::	train%2:41:00::
stay%2:30:01::	DELETE
stay%2:38:01::	stay%2:38:00::
stay%2:42:04::	stay%2:38:00::
specify%2:31:02::	specify%2:32:03::
specify%2:32:00::	specify%2:32:03::
specify%2:32:02::	specify%2:32:03::
specify%2:42:00::	specify%2:32:03::
speak%2:32:01::	speak%2:32:00::
sound%2:32:00::	sound%2:39:00::
sound%2:39:02::	sound%2:39:00::
sound%2:39:03::	sound%2:39:00::
set%2:30:02::	set%2:30:01::
set%2:30:07::	DELETE
set%2:30:09::	set%2:30:01::
set%2:32:00::	set%2:31:04::
set%2:32:01::	set%2:31:04::
set%2:36:12::	set%2:30:01::
set%2:35:02::	set%2:35:00::
set%2:35:09::	set%2:35:00::
serve%2:34:00::	serve%2:34:01::
serve%2:41:01::	serve%2:33:00::
serve%2:41:02::	serve%2:33:00::
serve%2:42:02::	serve%2:42:03::
run%2:35:04::	run%2:35:00::
run%2:36:00::	run%2:30:07::
run%2:36:01::	run%2:30:07::
run%2:36:02::	run%2:30:07::
run%2:38:03::	run%2:38:00::
run%2:38:04::	run%2:38:00::
run%2:38:05::	run%2:38:00::
run%2:38:08::	DELETE
run%2:38:10::	run%2:38:00::
run%2:38:11::	run%2:38:00::
run%2:40:06::	DELETE
run%2:41:00::	run%2:35:00::
run%2:41:01::	DELETE
run%2:42:01::	DELETE
run%2:42:02::	run%2:42:04::
run%2:42:03::	DELETE
run%2:42:06::	run%2:42:04::
run%2:42:07::	run%2:42:04::
run%2:42:08::	run%2:42:00::
ruin%2:41:00::	ruin%2:35:00::
represent%2:32:00::	represent%2:42:02::
represent%2:32:02::	represent%2:42:02::
represent%2:36:01::	represent%2:42:02::
represent%2:36:02::	represent%2:42:02::
represent%2:41:06::	represent%2:41:00::
represent%2:41:02::	represent%2:42:02::
represent%2:42:00::	represent%2:42:02::
represent%2:42:01::	represent%2:42:02::
remove%2:40:00::	remove%2:30:00::
remove%2:30:01::	remove%2:30:00::
remove%2:41:02::	remove%2:41:00::
put%2:34:00::	put%2:35:05::
put%2:40:00::	put%2:35:00::
pull%2:35:04::	pull%2:35:00::
plunge%2:38:00::	plunge%2:38:05::
plunge%2:31:01::	plunge%2:30:10::
pay%2:31:00::	pay%2:32:00::
pay%2:40:01::	pay%2:40:00::
pay%2:40:02::	pay%2:40:00::
pay%2:40:04::	pay%2:40:00::
pay%2:40:13::	DELETE
pay%2:40:14::	DELETE
pay%2:41:00::	DELETE
nod%2:29:03::	nod%2:32:01::
nod%2:32:00::	nod%2:32:01::
nod%2:38:00::	DELETE
identify%2:31:01::	identify%2:31:00::
identify%2:31:02::	identify%2:31:04::
identify%2:32:00::	identify%2:31:00::
drink%2:34:01::	drink%2:34:00::
drink%2:34:02::	DELETE
drink%2:34:12::	drink%2:34:00::
drift%2:30:00::	DELETE
drift%2:35:03::	drift%2:38:02::
drift%2:38:05::	drift%2:38:02::
drift%2:38:06::	drift%2:38:02::
drift%2:38:04::	drift%2:38:02::
drift%2:38:01::	drift%2:38:02::
drift%2:42:00::	DELETE
drift%2:42:03::	drift%2:30:10::
draw%2:29:00::	DELETE
draw%2:30:00::	DELETE
draw%2:30:04::	DELETE
draw%2:30:05::	DELETE
draw%2:30:08::	DELETE
draw%2:30:14::	draw%2:40:00::
draw%2:30:15::	DELETE
draw%2:31:13::	draw%2:40:00::
draw%2:32:00::	draw%2:31:00::
draw%2:33:00::	DELETE
draw%2:33:01::	draw%2:40:00::
draw%2:34:01::	draw%2:38:01::
draw%2:35:02::	draw%2:38:01::
draw%2:35:03::	draw%2:38:01::
draw%2:35:04::	draw%2:38:01::
draw%2:35:06::	draw%2:40:00::
draw%2:35:09::	DELETE
draw%2:35:13::	DELETE
draw%2:35:14::	DELETE
draw%2:36:00::	draw%2:35:01::
draw%2:36:01::	DELETE
draw%2:36:02::	draw%2:35:01::
draw%2:36:07::	DELETE
draw%2:37:01::	draw%2:40:00::
draw%2:38:00::	draw%2:38:01::
draw%2:38:02::	draw%2:38:01::
draw%2:38:07::	draw%2:38:01::
draw%2:40:01::	draw%2:40:00::
draw%2:41:13::	DELETE
draw%2:42:00::	DELETE
draw%2:42:02::	DELETE
discover%2:31:00::	discover%2:31:01::
discover%2:31:03::	discover%2:36:00::
discover%2:32:04::	discover%2:31:01::
discover%2:39:00::	discover%2:36:00::
discover%2:39:03::	discover%2:31:01::
discover%2:40:00::	discover%2:31:01::
convert%2:30:07::	convert%2:30:01::
convert%2:30:04::	convert%2:30:00::
convert%2:33:02::	DELETE
convert%2:30:03::	convert%2:30:00::
consider%2:31:05::	DELETE
consider%2:32:00::	consider%2:39:00::
consider%2:32:02::	consider%2:39:00::
compare%2:31:01::	compare%2:31:00::
compare%2:42:00::	compare%2:31:00::
bounce%2:35:00::	DELETE
bounce%2:35:03::	bounce%2:38:00::
bounce%2:38:02::	bounce%2:38:00::
bounce%2:40:01::	DELETE
block%2:30:00::	DELETE
block%2:30:01::	DELETE
block%2:30:02::	block%2:41:01::
block%2:31:00::	DELETE
block%2:33:00::	block%2:35:00::
block%2:35:02::	block%2:35:00::
block%2:35:06::	DELETE
block%2:35:03::	DELETE
block%2:35:12::	block%2:35:00::
block%2:39:05::	block%2:32:00::
block%2:39:00::	block%2:32:00::
block%2:41:00::	block%2:41:01::
block%2:41:03::	DELETE
ascend%2:38:04::	ascend%2:38:02::
ascend%2:38:03::	ascend%2:38:02::
ascend%2:42:02::	DELETE
ascend%2:41:00::	ascend%2:38:05::
appear%2:36:00::	appear%2:30:00::
appear%2:41:03::	appear%2:30:00::
appear%2:30:01::	appear%2:30:00::
appear%2:30:02::	appear%2:30:00::
appear%2:39:01::	appear%2:39:00::
accept%2:31:03::	accept%2:40:00::
accept%2:31:08::	DELETE
accept%2:32:00::	accept%2:40:00::
accept%2:40:01::	accept%2:40:00::
accept%2:40:03::	accept%2:40:00::
accept%2:40:12::	DELETE
absorb%2:31:06::	absorb%2:31:00::
absorb%2:31:03::	absorb%2:31:00::
absorb%2:35:00::	absorb%2:35:01::
absorb%2:35:10::	DELETE
absorb%2:43:00::	absorb%2:35:01::
tell%2:31:01::	tell%2:31:00::
tell%2:32:03::	tell%2:32:00::
tell%2:32:01::	tell%2:32:00::
tell%2:32:08::	tell%2:32:04::
tell%2:32:00::	tell%2:32:04::
suffer%2:29:00::	suffer%2:37:00::
suffer%2:29:03::	suffer%2:39:01::
suffer%2:30:02::	DELETE
suffer%2:31:00::	suffer%2:39:01::
suffer%2:39:00::	suffer%2:29:01::
suffer%2:39:02::	suffer%2:29:01::
suffer%2:42:04::	suffer%2:29:01::
stop%2:30:05::	stop%2:42:00::
stop%2:30:12::	DELETE
stop%2:33:00::	stop%2:42:00::
stop%2:35:00::	stop%2:41:00::
stop%2:35:12::	DELETE
stop%2:38:01::	stop%2:38:00::
stop%2:38:02::	stop%2:38:00::
stop%2:42:13::	stop%2:42:00::
spread%2:32:02::	spread%2:32:00::
spread%2:35:03::	spread%2:35:00::
spread%2:35:12::	DELETE
spread%2:35:13::	DELETE
spread%2:38:00::	spread%2:35:00::
spread%2:38:02::	spread%2:35:00::
spread%2:42:00::	spread%2:35:00::
seem%2:39:02::	DELETE
seem%2:42:00::	DELETE
roll%2:38:01::	roll%2:38:00::
roll%2:29:06::	roll%2:38:00::
roll%2:30:06::	roll%2:35:00::
roll%2:30:07::	roll%2:35:00::
roll%2:30:08::	DELETE
roll%2:30:10::	roll%2:35:00::
roll%2:32:00::	DELETE
roll%2:38:09::	DELETE
roll%2:38:10::	DELETE
roll%2:38:11::	DELETE
roll%2:38:12::	DELETE
roll%2:39:00::	roll%2:42:00::
ride%2:32:00::	ride%2:42:04::
ride%2:35:00::	ride%2:42:04::
ride%2:35:03::	ride%2:42:04::
ride%2:38:02::	ride%2:42:04::
ride%2:38:03::	ride%2:42:04::
ride%2:42:00::	ride%2:42:04::
ride%2:42:02::	ride%2:42:04::
ride%2:42:07::	ride%2:42:04::
ride%2:38:04::	ride%2:38:00::
ride%2:38:07::	ride%2:38:00::
ride%2:42:03::	ride%2:38:00::
reach%2:38:06::	reach%2:38:01::
reach%2:40:00::	DELETE
reach%2:41:00::	reach%2:38:01::
reach%2:42:00::	reach%2:38:01::
play%2:29:00::	play%2:41:12::
play%2:29:04::	DELETE
play%2:31:01::	play%2:41:12::
play%2:33:02::	DELETE
play%2:33:03::	play%2:41:12::
play%2:35:07::	DELETE
play%2:33:07::	play%2:33:00::
play%2:33:08::	DELETE
play%2:33:09::	play%2:33:00::
play%2:33:12::	DELETE
play%2:33:13::	DELETE
play%2:34:13::	play%2:41:12::
play%2:35:00::	play%2:41:12::
play%2:36:00::	play%2:36:12::
play%2:36:01::	play%2:36:12::
play%2:36:03::	play%2:36:02::
play%2:36:04::	DELETE
play%2:36:05::	play%2:36:12::
play%2:36:06::	play%2:33:00::
play%2:36:10::	play%2:33:00::
play%2:36:11::	play%2:36:12::
play%2:36:13::	DELETE
play%2:38:00::	play%2:41:12::
play%2:38:03::	DELETE
play%2:41:00::	play%2:33:00::
play%2:29:01::	play%2:41:12::
play%2:42:00::	DELETE
play%2:41:02::	play%2:41:12::
play%2:41:03::	play%2:33:00::
play%2:41:13::	DELETE
miss%2:32:00::	DELETE
miss%2:38:00::	miss%2:35:00::
miss%2:42:02::	miss%2:42:00::
mean%2:31:01::	mean%2:32:01::
mean%2:31:05::	DELETE
mean%2:42:03::	mean%2:32:03::
live%2:31:00::	live%2:42:06::
live%2:42:00::	live%2:42:08::
live%2:42:01::	live%2:42:06::
live%2:42:04::	live%2:42:06::
live%2:42:07::	live%2:42:06::
leave%2:30:02::	leave%2:31:05::
leave%2:31:02::	leave%2:31:05::
leave%2:30:03::	leave%2:31:05::
leave%2:38:00::	leave%2:38:01::
leave%2:42:00::	leave%2:31:05::
leave%2:40:01::	leave%2:31:05::
leave%2:42:01::	leave%2:31:05::
leave%2:42:02::	leave%2:31:05::
leave%2:40:02::	leave%2:31:05::
leave%2:40:06::	leave%2:31:05::
leave%2:42:00::	leave%2:31:05::
leave%2:42:03::	leave%2:31:05::
fly%2:35:00::	fly%2:38:00::
fly%2:38:01::	fly%2:38:00::
fly%2:38:04::	fly%2:38:00::
fly%2:38:05::	fly%2:38:00::
fly%2:38:07::	fly%2:38:00::
fly%2:39:00::	DELETE
fall%2:30:09::	DELETE
fall%2:30:10::	DELETE
fall%2:30:11::	DELETE
fall%2:30:12::	DELETE
fall%2:30:13::	DELETE
fall%2:30:14::	DELETE
fall%2:30:15::	DELETE
fall%2:35:00::	DELETE
fall%2:38:00::	fall%2:38:03::
fall%2:38:01::	DELETE
fall%2:38:11::	DELETE
fall%2:40:13::	fall%2:40:12::
fall%2:38:14::	DELETE
fall%2:38:15::	DELETE
fall%2:40:05::	fall%2:41:00::
fall%2:40:08::	fall%2:40:03::
fall%2:41:01::	fall%2:30:08::
fall%2:41:02::	fall%2:30:08::
fall%2:41:15::	DELETE
fall%2:42:00::	fall%2:41:00::
fall%2:42:02::	fall%2:30:00::
fall%2:43:00::	fall%2:38:03::
encourage%2:32:00::	encourage%2:41:00::
encourage%2:37:00::	encourage%2:41:00::
find%2:30:13::	DELETE
find%2:40:15::	find%2:40:02::
find%2:40:01::	find%2:40:02::
find%2:40:00::	find%2:40:02::
find%2:40:03::	find%2:40:02::
find%2:30:00::	find%2:40:02::
find%2:39:05::	find%2:39:02::
find%2:39:01::	find%2:39:02::
find%2:36:00::	find%2:39:02::
find%2:31:09::	find%2:39:02::
have%2:40:01::	have%2:40:00::
have%2:40:02::	have%2:40:00::
have%2:40:03::	have%2:40:00::
have%2:40:04::	have%2:40:00::
have%2:40:05::	have%2:40:00::
have%2:29:05::	have%2:29:02::
do%2:36:01::	do%2:41:01::
do%2:41:04::	do%2:41:01::
involve%2:42:04::	involve%2:42:01::
involve%2:42:00::	involve%2:42:01::
involve%2:42:07::	involve%2:42:01::
receive%2:30:00::	receive%2:39:00::
receive%2:31:08::	receive%2:35:00::
receive%2:32:00::	receive%2:35:00::
receive%2:39:15::	receive%2:30:01::
receive%2:41:00::	DELETE
receive%2:42:00::	DELETE
see%2:39:11::	DELETE
see%2:39:12::	DELETE
see%2:39:13::	DELETE
see%2:41:00::	DELETE
see%2:31:13::	DELETE
take%2:29:08::	DELETE
take%2:32:09::	DELETE
take%2:41:13::	DELETE
take%2:32:00::	take%2:30:01::
take%2:39:00::	take%2:30:01::
start%2:30:01::	start%2:30:00::
start%2:38:00::	start%2:30:00::
start%2:41:00::	start%2:30:00::
start%2:41:04::	start%2:30:00::
start%2:42:00::	start%2:30:00::
start%2:33:00::	DELETE
know%2:31:02::	know%2:31:01::
know%2:31:03::	know%2:31:01::
know%2:31:15::	know%2:31:01::
know%2:31:11::	DELETE
know%2:31:12::	DELETE
know%2:31:14::	DELETE
know%2:35:00::	DELETE
come%2:30:03::	come%2:30:01::
come%2:30:13::	come%2:30:01::
come%2:31:13::	come%2:30:01::
come%2:31:14::	come%2:30:01::
come%2:38:02::	DELETE
come%2:38:03::	come%2:38:00::
come%2:38:04::	come%2:38:00::
come%2:39:00::	DELETE
come%2:42:00::	come%2:30:01::
come%2:42:02::	come%2:30:01::
come%2:42:03::	come%2:30:01::
come%2:42:05::	come%2:42:04::
come%2:42:09::	come%2:42:04::
come%2:42:11::	come%2:42:04::
come%2:42:12::	come%2:42:04::
come%2:42:13::	come%2:30:01::
come%2:42:15::	come%2:42:04::
develop%2:30:00::	develop%2:42:00::
develop%2:30:01::	develop%2:42:00::
develop%2:30:03::	DELETE
develop%2:30:05::	develop%2:36:00::
develop%2:30:06::	develop%2:36:00::
develop%2:30:09::	develop%2:36:00::
develop%2:30:10::	develop%2:42:00::
develop%2:30:12::	DELETE
develop%2:30:13::	DELETE
develop%2:31:00::	develop%2:36:00::
develop%2:32:00::	develop%2:36:00::
develop%2:33:02::	DELETE
develop%2:33:03::	DELETE
develop%2:36:09::	DELETE
develop%2:39:00::	DELETE
give%2:29:10::	DELETE
give%2:29:11::	DELETE
give%2:30:13::	DELETE
give%2:31:00::	DELETE
give%2:41:00::	give%2:32:00::
give%2:31:02::	give%2:32:01::
give%2:32:02::	DELETE
give%2:32:03::	give%2:40:05::
give%2:32:07::	DELETE
give%2:32:08::	DELETE
give%2:32:09::	DELETE
give%2:32:10::	DELETE
give%2:32:11::	DELETE
give%2:32:14::	DELETE
give%2:32:15::	DELETE
give%2:34:00::	DELETE
give%2:34:10::	DELETE
give%2:35:00::	DELETE
give%2:36:00::	give%2:40:05::
give%2:36:01::	give%2:40:05::
give%2:36:03::	give%2:40:05::
give%2:36:12::	DELETE
give%2:36:13::	DELETE
give%2:38:00::	DELETE
give%2:38:13::	DELETE
give%2:40:02::	give%2:40:00::
give%2:40:08::	DELETE
give%2:40:09::	give%2:40:05::
give%2:40:11::	DELETE
give%2:40:12::	DELETE
give%2:40:14::	give%2:40:13::
give%2:40:15::	DELETE
give%2:41:10::	DELETE
hold%2:29:04::	DELETE
hold%2:31:04::	DELETE
hold%2:31:08::	DELETE
hold%2:32:13::	DELETE
hold%2:33:05::	DELETE
hold%2:35:01::	hold%2:35:00::
hold%2:35:02::	hold%2:35:00::
hold%2:35:09::	DELETE
hold%2:31:10::	DELETE
hold%2:32:11::	DELETE
hold%2:32:15::	DELETE
hold%2:33:00::	DELETE
hold%2:34:00::	DELETE
hold%2:37:00::	hold%2:31:01::
hold%2:40:02::	hold%2:40:00::
hold%2:40:04::	hold%2:40:00::
hold%2:41:00::	DELETE
hold%2:41:13::	DELETE
hold%2:41:15::	DELETE
hold%2:41:14::	DELETE
hold%2:42:01::	hold%2:42:00::
hold%2:42:02::	hold%2:31:01::
hold%2:42:04::	DELETE
hold%2:42:05::	DELETE
hold%2:42:07::	hold%2:40:00::
hold%2:42:08::	DELETE
hold%2:42:12::	DELETE
hold%2:42:13::	hold%2:35:00::
hold%2:42:14::	hold%2:35:00::
think%2:30:00::	DELETE
think%2:31:02::	think%2:31:00::
think%2:31:06::	think%2:31:03::
think%2:31:08::	DELETE
think%2:31:09::	DELETE
think%2:31:12::	DELETE
think%2:31:13::	DELETE
think%2:31:14::	DELETE
think%2:31:15::	DELETE
think%2:36:00::	think%2:31:03::
work%2:35:02::	work%2:41:03::
work%2:41:00::	work%2:41:02::
work%2:41:04::	work%2:41:02::
work%2:30:10::	DELETE
work%2:30:13::	DELETE
work%2:30:14::	DELETE
work%2:31:13::	DELETE
work%2:34:10::	DELETE
work%2:35:00::	DELETE
work%2:35:14::	DELETE
work%2:36:00::	work%2:41:02::
work%2:36:01::	DELETE
work%2:36:09::	DELETE
work%2:36:12::	DELETE
work%2:37:10::	DELETE
work%2:38:00::	DELETE
work%2:38:02::	DELETE
work%2:39:10::	DELETE
work%2:41:01::	work%2:41:02::
work%2:41:04::	work%2:41:02::
work%2:41:05::	work%2:41:02::
work%2:41:11::	DELETE
work%2:41:12::	DELETE
work%2:42:10::	DELETE
work%2:41:10::	DELETE
begin%2:30:01::	begin%2:30:00::
begin%2:32:03::	begin%2:30:00::
begin%2:32:04::	begin%2:30:00::
begin%2:41:00::	DELETE
begin%2:41:04::	DELETE
begin%2:42:02::	begin%2:42:00::
begin%2:42:03::	DELETE
begin%2:42:04::	begin%2:42:00::
show%2:32:00::	show%2:31:00::
show%2:32:03::	show%2:31:00::
show%2:32:04::	show%2:31:00::
show%2:33:00::	DELETE
show%2:38:00::	show%2:32:01::
show%2:39:00::	show%2:39:02::
show%2:39:00::	show%2:39:02::
feel%2:31:01::	feel%2:37:00::
feel%2:35:00::	feel%2:29:00::
feel%2:35:01::	feel%2:29:00::
feel%2:35:11::	DELETE
feel%2:39:09::	feel%2:29:00::
feel%2:39:10::	feel%2:29:00::
feel%2:40:00::	DELETE
feel%2:42:00::	feel%2:29:00::
felt%2:35:00::	DELETE
felt%2:35:01::	DELETE
need%2:34:01::	need%2:34:00::
wait%2:41:00::	DELETE
watch%2:39:02::	watch%2:39:00::
watch%2:39:03::	watch%2:39:00::
follow%2:30:00::	follow%2:40:00::
follow%2:30:01::	follow%2:40:00::
follow%2:31:14::	follow%2:40:00::
follow%2:36:00::	follow%2:40:00::
follow%2:36:01::	DELETE
follow%2:38:13::	follow%2:38:00::
follow%2:39:13::	DELETE
follow%2:41:00::	follow%2:40:00::
follow%2:41:10::	follow%2:40:00::
follow%2:41:11::	follow%2:40:00::
follow%2:42:01::	follow%2:42:00::
follow%2:42:02::	follow%2:42:00::
follow%2:42:03::	follow%2:42:00::
follow%2:41:01::	follow%2:42:00::
go%2:30:00::	go%2:30:08::
go%2:30:01::	go%2:41:00::
go%2:30:02::	go%2:41:00::
go%2:30:03::	DELETE
go%2:30:04::	go%2:41:00::
go%2:33:00::	DELETE
go%2:34:00::	go%2:30:08::
go%2:34:09::	DELETE
go%2:35:00::	go%2:41:00::
go%2:35:13::	DELETE
go%2:38:01::	go%2:38:00::
go%2:38:09::	DELETE
go%2:39:00::	go%2:41:00::
go%2:42:00::	go%2:41:00::
go%2:42:02::	go%2:41:00::
go%2:42:03::	go%2:41:00::
go%2:42:04::	DELETE
go%2:42:06::	go%2:41:00::
go%2:42:07::	go%2:41:00::
go%2:42:08::	go%2:41:00::
go%2:42:10::	go%2:41:00::
go%2:42:11::	DELETE
go%2:42:12::	DELETE
go%2:42:13::	DELETE
go%2:42:14::	go%2:41:00::
hit%2:32:12::	DELETE
hit%2:38:07::	DELETE
hit%2:33:02::	DELETE
hit%2:38:02::	DELETE
hit%2:39:00::	hit%2:35:05::
hit%2:40:05::	hit%2:35:05::
hit%2:33:03::	DELETE
hit%2:34:00::	DELETE
hit%2:35:00::	hit%2:35:01::
hit%2:33:01::	hit%2:35:01::
realize%2:31:00::	realize%2:31:01::
turn%2:30:00::	turn%2:30:04::
turn%2:30:01::	turn%2:30:04::
turn%2:30:03::	turn%2:30:04::
turn%2:30:09::	turn%2:30:04::
turn%2:30:14::	turn%2:30:04::
turn%2:32:14::	turn%2:38:14::
turn%2:35:06::	DELETE
turn%2:35:08::	DELETE
turn%2:35:10::	DELETE
turn%2:35:11::	DELETE
turn%2:36:00::	DELETE
turn%2:38:01::	turn%2:38:00::
turn%2:38:02::	turn%2:38:00::
turn%2:38:04::	turn%2:38:00::
turn%2:38:13::	turn%2:38:00::
turn%2:41:10::	DELETE
turn%2:42:13::	turn%2:30:04::
ask%2:32:00::	ask%2:32:02::
ask%2:32:04::	ask%2:32:02::
ask%2:32:05::	ask%2:32:01::
ask%2:32:09::	ask%2:32:01::
ask%2:42:00::	DELETE
enter%2:30:10::	DELETE
enter%2:35:03::	enter%2:32:04::
enter%2:36:00::	enter%2:38:00::
get%2:29:00::	get%2:40:00::
get%2:29:01::	get%2:40:00::
get%2:29:11::	get%2:40:00::
get%2:30:01::	get%2:30:00::
get%2:30:03::	get%2:40:00::
get%2:30:12::	DELETE
get%2:31:03::	DELETE
get%2:31:09::	get%2:40:00::
get%2:31:10::	DELETE
get%2:32:00::	get%2:30:02::
get%2:32:08::	DELETE
get%2:35:00::	DELETE
get%2:35:09::	DELETE
get%2:35:10::	DELETE
get%2:35:12::	DELETE
get%2:36:14::	DELETE
get%2:37:12::	get%2:37:11::
get%2:38:12::	DELETE
get%2:39:00::	get%2:40:00::
get%2:39:13::	DELETE
get%2:39:14::	DELETE
get%2:40:13::	get%2:40:00::
get%2:40:14::	get%2:40:00::
get%2:40:01::	get%2:40:00::
pass%2:29:00::	DELETE
pass%2:30:00::	pass%2:38:03::
pass%2:30:11::	DELETE
pass%2:38:01::	pass%2:38:00::
pass%2:38:04::	DELETE
pass%2:38:05::	pass%2:38:00::
pass%2:40:01::	DELETE
pass%2:40:02::	pass%2:40:00::
pass%2:41:04::	pass%2:41:02::
pass%2:42:00::	pass%2:30:00::
pass%2:42:04::	pass%2:41:08::
produce%2:39:00::	produce%2:36:00::
produce%2:39:01::	produce%2:36:02::
produce%2:36:05::	produce%2:36:00::
save%2:32:04::	save%2:40:00::
save%2:40:01::	save%2:40:00::
save%2:40:02::	save%2:40:00::
save%2:40:03::	save%2:40:00::
save%2:40:04::	save%2:40:00::
save%2:41:00::	save%2:41:01::
save%2:41:02::	save%2:41:01::
save%2:41:05::	save%2:41:01::
shake%2:29:00::	shake%2:38:00::
shake%2:32:00::	shake%2:38:00::
shake%2:38:01::	shake%2:38:00::
shake%2:38:02::	shake%2:38:00::
stand%2:31:00::	stand%2:42:04::
stand%2:31:01::	stand%2:42:04::
stand%2:35:01::	stand%2:35:00::
stand%2:42:00::	stand%2:42:04::
stand%2:42:01::	stand%2:35:00::
stand%2:42:02::	stand%2:42:04::
stand%2:42:03::	stand%2:35:00::
stand%2:33:00::	stand%2:42:04::
stand%2:42:06::	stand%2:42:04::
wonder%2:32:12::	wonder%2:32:01::
administer%2:29:00::	administer%2:40:00::
administer%2:40:01::	administer%2:40:00::
administer%2:41:01::	DELETE
become%2:42:00::	become%2:30:00::
become%2:42:03::	DELETE
burn%2:29:00::	DELETE
burn%2:30:01::	burn%2:30:00::
burn%2:30:02::	burn%2:30:00::
burn%2:30:03::	burn%2:30:00::
burn%2:30:08::	burn%2:30:00::
burn%2:34:00::	DELETE
burn%2:36:05::	DELETE
burn%2:39:04::	burn%2:39:00::
burn%2:41:00::	burn%2:30:00::
burn%2:43:02::	burn%2:30:00::
call%2:32:00::	call%2:32:02::
call%2:29:05::	DELETE
call%2:31:00::	DELETE
call%2:31:05::	DELETE
call%2:31:13::	DELETE
call%2:32:03::	call%2:32:09::
call%2:32:04::	call%2:32:01::
call%2:32:06::	DELETE
call%2:32:07::	DELETE
call%2:32:08::	DELETE
call%2:32:10::	DELETE
call%2:32:11::	DELETE
call%2:32:12::	DELETE
call%2:32:13::	DELETE
call%2:32:14::	DELETE
call%2:32:15::	DELETE
call%2:38:00::	DELETE
call%2:40:05::	DELETE
call%2:40:09::	DELETE
call%2:41:12::	DELETE
call%2:41:14::	DELETE
call%2:42:09::	DELETE
drive%2:38:00::	drive%2:38:01::
drive%2:38:02::	drive%2:38:01::
drive%2:42:00::	drive%2:38:01::
drive%2:41:13::	drive%2:38:01::
drive%2:41:02::	drive%2:35:00::
drive%2:36:00::	drive%2:35:00::
drive%2:35:07::	drive%2:35:00::
emerge%2:38:00::	emerge%2:30:00::
